Title,Author,Price,Link,Category,ISBN13,Binding,Subject,Publisher,Publisher Imprint,Publication Date,Pages,Original Price,Language,Edition,Item Weight
Ulysses,by James Joyce,Rs. 597.00,https://atlanticbooks.com/collections/fiction/products/ulysses-by-james-joyce-9788124805732,Fiction,9.79E+12,Hardcover,English Literature,Peacock Books,N/A,13-01-2025,780,INR 795.00,English,N/A,800 grams
Treasure Island,by Robert Louis Stevenson,Rs. 137.00,https://atlanticbooks.com/collections/fiction/products/treasure-island,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,200,INR 195.00,English,N/A,230 grams
To The Lighthouse,by Virginia Woolf,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/to-the-lighthouse,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,07-06-2024,194,INR 195.00,English,N/A,140 grams
The Way Of The World,by William Congreve,Rs. 132.00,https://atlanticbooks.com/collections/fiction/products/the-way-of-the-world,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,19-07-2023,108,INR 175.00,English,N/A,820 grams
The Turn of the Screw,by Henry James,Rs. 207.00,https://atlanticbooks.com/collections/fiction/products/the-turn-of-the-screw,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,154,INR 295.00,English,N/A,180 grams
The Thomas Hardy Collection,by Thomas Hardy,"Rs. 1,228.00",https://atlanticbooks.com/collections/fiction/products/the-thomas-hardy-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2026,INR 1637.00,English,N/A,1460 grams
The Sun Also Rises,by Ernest Hemingway,Rs. 263.00,https://atlanticbooks.com/collections/fiction/products/the-sun-also-rises,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,11-09-2024,226,INR 375.00,English,N/A,270 grams
The Sherlock Holmes Collection,by Sir Arthur Conan Doyle,Rs. 672.00,https://atlanticbooks.com/collections/fiction/products/the-sherlock-holmes-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,1126,INR 895.00,English,N/A,813 grams
The Secret Agent,by Joseph Conrad,Rs. 137.00,https://atlanticbooks.com/collections/fiction/products/the-secret-agent,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,276,INR 195.00,English,N/A,260 grams
The Scarlet Letter,by Nathaniel Hawthorne,Rs. 169.00,https://atlanticbooks.com/collections/fiction/products/the-scarlet-letter,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,258,INR 225.00,English,N/A,180 grams
The Return Of The Native,by Thomas Hardy,Rs. 207.00,https://atlanticbooks.com/collections/fiction/products/the-return-of-the-native,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,440,INR 295.00,English,N/A,370 grams
The Rainbow,by D.H. Lawrence,Rs. 297.00,https://atlanticbooks.com/collections/fiction/products/the-rainbow,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-08-2024,518,INR 395.00,English,N/A,210 grams
The Professor,by Charlotte Bronte,Rs. 277.00,https://atlanticbooks.com/collections/fiction/products/the-professor,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,310,INR 395.00,English,N/A,340 grams
The Picture Of Dorian Gray,by Oscar Wilde,Rs. 188.00,https://atlanticbooks.com/collections/fiction/products/the-picture-of-dorian-gray,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-05-2023,264,INR 250.00,English,N/A,210 grams
The Merchant Of Venice,by William Shakespeare,Rs. 94.00,https://atlanticbooks.com/collections/fiction/products/the-merchant-of-venice,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,21-03-2023,96,INR 125.00,English,N/A,760 grams
The Mayor Of Casterbridge,by Thomas Hardy,Rs. 193.00,https://atlanticbooks.com/collections/fiction/products/the-mayor-of-casterbridge,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,336,INR 275.00,English,N/A,170 grams
The Jungle Books,by Rudyard Kipling,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/the-jungle-books,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,350,INR 250.00,English,N/A,340 grams
The Jane Austen Collection,by Jane Austen,"Rs. 1,122.00",https://atlanticbooks.com/collections/fiction/products/the-jane-austen-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2006,INR 1495.00,English,N/A,1450 grams
The Invisible Man,by H.G. Wells,Rs. 132.00,https://atlanticbooks.com/collections/fiction/products/the-invisible-man,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,160,INR 175.00,English,N/A,130 grams
The D.H. Lawrence Collection,by D.H. Lawrence,"Rs. 1,076.00",https://atlanticbooks.com/collections/fiction/products/the-d-h-lawrence-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,1850,INR 1434.00,English,N/A,1313 grams
The Charles Dickens Collection,by Charles Dickens,"Rs. 1,084.00",https://atlanticbooks.com/collections/fiction/products/the-charles-dickens-collection,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2024,2080,INR 1445.00,English,N/A,1476 grams
Tess Of The D'Urbervilles,by Thomas Hardy,Rs. 262.00,https://atlanticbooks.com/collections/fiction/products/tess-of-the-durbervilles,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,30-01-2024,452,INR 349.00,English,N/A,300 grams
Sons And Lovers,by D.H. Lawrence,Rs. 245.00,https://atlanticbooks.com/collections/fiction/products/sons-and-lovers,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,452,INR 350.00,English,N/A,390 grams
She Stoops To Conquer,by Oliver Goldsmith,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/she-stoops-to-conquer,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-08-2023,86,INR 250.00,English,N/A,190 grams
Persuasion,by Jane Austen,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/persuasion,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,232,INR 250.00,English,N/A,220 grams
Orlando,by Virginia Woolf,Rs. 207.00,https://atlanticbooks.com/collections/fiction/products/orlando,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,248,INR 295.00,English,N/A,250 grams
Mrs. Dalloway,by Virginia Woolf,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/mrs-dalloway,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,160,INR 250.00,English,N/A,190 grams
Moll Flanders,by Daniel Defoe,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/moll-flanders,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2023,322,INR 250.00,English,N/A,300 grams
Metamorphosis,by Franz Kafka,Rs. 94.00,https://atlanticbooks.com/collections/fiction/products/metamorphosis,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-10-2024,78,INR 125.00,English,N/A,70 grams
Mansfield Park,by Jane Austen,Rs. 207.00,https://atlanticbooks.com/collections/fiction/products/mansfield-park,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,422,INR 295.00,English,N/A,401 grams
Man And Superman,by George Bernard Shaw,Rs. 263.00,https://atlanticbooks.com/collections/fiction/products/man-and-superman,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,29-05-2023,252,INR 375.00,English,N/A,100 grams
Lord Jim,by Joseph Conrad,Rs. 193.00,https://atlanticbooks.com/collections/fiction/products/lord-jim,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,09-12-2023,336,INR 275.00,English,N/A,310 grams
Little Women,by Louisa May Alcott,Rs. 263.00,https://atlanticbooks.com/collections/fiction/products/little-women,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,N/A,470,INR 350.00,English,N/A,450 grams
Jude The Obscure,by Thomas Hardy,Rs. 263.00,https://atlanticbooks.com/collections/fiction/products/jude-the-obscure,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,416,INR 375.00,English,N/A,370 grams
Journey To The Centre Of The Earth,by Jules Verne,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/journey-to-the-centre-of-the-earth,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,194,INR 195.00,English,N/A,300 grams
Joseph Andrews,by Henry Fielding,Rs. 222.00,https://atlanticbooks.com/collections/fiction/products/joseph-andrews,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,18-09-2023,358,INR 295.00,English,N/A,250 grams
Jane Eyre,by Charlotte Bronte,Rs. 263.00,https://atlanticbooks.com/collections/fiction/products/jane-eyre,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-01-2023,488,INR 350.00,English,N/A,330 grams
Jacob's Room,by Virginia Woolf,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/jacobs-room,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,200,INR 195.00,English,N/A,160 grams
Ivanhoe,by Sir Walter Scott,Rs. 207.00,https://atlanticbooks.com/collections/fiction/products/ivanhoe,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2006,464,INR 295.00,English,N/A,300 grams
Heart Of Darkness,by Joseph Conrad,Rs. 94.00,https://atlanticbooks.com/collections/fiction/products/heart-of-darkness,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,14-07-2023,102,INR 125.00,English,N/A,790 grams
Hard Times,by Charles Dickens,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/hard-times,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,312,INR 250.00,English,N/A,310 grams
Gulliver'S Travels,by Jonathan Swift,Rs. 188.00,https://atlanticbooks.com/collections/fiction/products/gullivers-travels,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,302,INR 250.00,English,N/A,210 grams
Great Expectations,by Charles Dickens,Rs. 259.00,https://atlanticbooks.com/collections/fiction/products/great-expectations,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-11-2023,522,INR 345.00,English,N/A,250 grams
Far From The Madding Crowd,by Thomas Hardy,Rs. 207.00,https://atlanticbooks.com/collections/fiction/products/far-from-the-madding-crowd,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,382,INR 295.00,English,N/A,330 grams
Emma,by Jane Austen,Rs. 262.00,https://atlanticbooks.com/collections/fiction/products/emma,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-03-2023,434,INR 349.00,English,N/A,300 grams
David Copperfield,by Charles Dickens,Rs. 487.00,https://atlanticbooks.com/collections/fiction/products/david-copperfield,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-06-2023,900,INR 695.00,English,N/A,860 grams
Antony And Cleopatra,by William Shakespeare,Rs. 137.00,https://atlanticbooks.com/collections/fiction/products/antony-and-cleopatra,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2016,136,INR 195.00,English,N/A,200 grams
A Tale Of Two Cities,by Charles Dickens,Rs. 277.00,https://atlanticbooks.com/collections/fiction/products/a-tale-of-two-cities,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,04-07-2023,424,INR 395.00,English,N/A,390 grams
A Portrait Of The Artist As A Young Man,by James Joyce,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/a-portrait-of-the-artist-as-a-young-man,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,30-11-2023,236,INR 250.00,English,N/A,160 grams
A Farewell to Arms,by Ernest Hemingway,Rs. 222.00,https://atlanticbooks.com/collections/fiction/products/a-farewell-to-arms,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-07-2023,316,INR 295.00,English,N/A,250 grams
Wuthering Heights,by Emily Bronte,Rs. 188.00,https://atlanticbooks.com/collections/fiction/products/wuthering-heights,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,13-03-2023,306,INR 250.00,English,N/A,210 grams
The Red Badge Of Courage And Other Stories,by Stephen Crane,Rs. 113.00,https://atlanticbooks.com/collections/fiction/products/the-red-badge-of-courage-and-other-stories,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,174,INR 150.00,English,N/A,120 grams
The Importance Of Being Earnest,by Oscar Wilde,Rs. 94.00,https://atlanticbooks.com/collections/fiction/products/the-importance-of-being-earnest,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,13-03-2023,80,INR 125.00,English,N/A,110 grams
The Great Gatsby,by F. Scott Fitzgerald,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/the-great-gatsby,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,152,INR 250.00,English,N/A,170 grams
Sense And Sensibility,by Jane Austen,Rs. 245.00,https://atlanticbooks.com/collections/fiction/products/sense-and-sensibility,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2017,334,INR 350.00,English,N/A,337 grams
Lady Chatterley'S Lover,by D.H. Lawrence,Rs. 207.00,https://atlanticbooks.com/collections/fiction/products/lady-chatterleys-lover,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,336,INR 295.00,English,N/A,300 grams
Frankenstein,by Mary Shelley,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/frankenstein,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-03-2023,214,INR 195.00,English,N/A,150 grams
Women In Love,by D.H. Lawrence,Rs. 245.00,https://atlanticbooks.com/collections/fiction/products/women-in-love,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,544,INR 350.00,English,N/A,460 grams
Time Machine,by H.G. Wells,Rs. 137.00,https://atlanticbooks.com/collections/fiction/products/time-machine,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-01-2000,122,INR 195.00,English,N/A,250 grams
Three Men In A Boat,by Jerome K. Jerome,Rs. 132.00,https://atlanticbooks.com/collections/fiction/products/three-men-in-a-boat,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,160,INR 175.00,English,N/A,180 grams
The Waves,by Virginia Woolf,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/the-waves,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2017,208,INR 195.00,English,N/A,150 grams
The Strange Case Of Dr. Jekyll And Mr. Hyde,by R. L. Stevenson,Rs. 158.00,https://atlanticbooks.com/collections/fiction/products/the-strange-case-of-dr-jekyll-and-mr-hyde,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,80,INR 225.00,English,N/A,80 grams
The Return Of Sherlock Holmes,by Sir Arthur Conan Doyle,Rs. 347.00,https://atlanticbooks.com/collections/fiction/products/the-return-of-sherlock-holmes,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,330,INR 495.00,English,N/A,326 grams
The Portrait Of A Lady,by Henry James,Rs. 297.00,https://atlanticbooks.com/collections/fiction/products/the-portrait-of-a-lady,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,26-05-2012,592,INR 395.00,English,N/A,250 grams
The Nigger Of The 'Narcissus',by Joseph Conrad,Rs. 132.00,https://atlanticbooks.com/collections/fiction/products/the-nigger-of-the-narcissus,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-05-2009,144,INR 175.00,English,N/A,110 grams
The Memoirs Of Sherlock Holmes,by Sir Arthur Conan Doyle,Rs. 315.00,https://atlanticbooks.com/collections/fiction/products/the-memoirs-of-sherlock-holmes,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2016,256,INR 450.00,English,N/A,282 grams
The Hound of the Baskervilles,by A. Conan Doyle,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/the-hound-of-the-baskervilles,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,186,INR 195.00,English,N/A,130 grams
The Adventures Of Sherlock Holmes,by Sir Arthur Conan Doyle,Rs. 222.00,https://atlanticbooks.com/collections/fiction/products/the-adventures-of-sherlock-holmes,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2017,354,INR 295.00,English,N/A,251 grams
Story Of A Young Lawyer,by Panchajanya Batra Singh,Rs. 94.00,https://atlanticbooks.com/collections/fiction/products/story-of-a-young-lawyer,Fiction,9.79E+12,Paperback,"Creative Writing, Fiction",Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-05-2009,200,INR 125.00,English,N/A,110 grams
Northanger Abbey,by Jane Austen,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/northanger-abbey,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-08-2014,216,INR 195.00,English,N/A,170 grams
Middlemarch,by George Eliot,Rs. 245.00,https://atlanticbooks.com/collections/fiction/products/middlemarch,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Atlantic,12-05-1994,686,INR 495.00,English,N/A,0 grams
Madame Bovary,by Gustave Flaubert,Rs. 245.00,https://atlanticbooks.com/collections/fiction/products/madame-bovary,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,15-06-2020,360,INR 350.00,English,N/A,310 grams
King Solomon'S Mines,by H. Rider Haggard,Rs. 175.00,https://atlanticbooks.com/collections/fiction/products/king-solomons-mines,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,208,INR 250.00,English,N/A,200 grams
Kim,by Rudyard Kipling,Rs. 207.00,https://atlanticbooks.com/collections/fiction/products/kim,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,264,INR 295.00,English,N/A,420 grams
Henry V,by William Shakespeare,Rs. 109.00,https://atlanticbooks.com/collections/fiction/products/henry-v,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,26-05-2012,136,INR 145.00,English,N/A,90 grams
Dubliners,by James Joyce,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/dubliners,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-07-2013,200,INR 195.00,English,N/A,130 grams
Best Ghost Stories,by Charles Dickens,Rs. 277.00,https://atlanticbooks.com/collections/fiction/products/best-ghost-stories,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,350,INR 395.00,English,N/A,340 grams
Around The World In Eighty Days,by Jules Verne,Rs. 132.00,https://atlanticbooks.com/collections/fiction/products/around-the-world-in-eighty-days,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2015,176,INR 175.00,English,N/A,200 grams
Adam Bede,by George Eliot,Rs. 297.00,https://atlanticbooks.com/collections/fiction/products/adam-bede,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-07-2010,568,INR 395.00,English,N/A,210 grams
A Tale Of A Tub And Other Works,by Jonathan Swift,Rs. 147.00,https://atlanticbooks.com/collections/fiction/products/a-tale-of-a-tub-and-other-works,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,20-05-2019,198,INR 195.00,English,N/A,140 grams
Jacob's Room,by Virginia Woolf,Rs. 147.00,https://atlanticbooks.com/products/jacobs-room,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-04-2023,200,INR 195.00,English,N/A,160 grams
Jane Eyre,by Charlotte Bronte,Rs. 263.00,https://atlanticbooks.com/products/jane-eyre,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,03-01-2023,488,INR 350.00,English,N/A,330 grams
Joseph Andrews,by Henry Fielding,Rs. 222.00,https://atlanticbooks.com/products/joseph-andrews,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,18-09-2023,358,INR 295.00,English,N/A,250 grams
Journey To The Centre Of The Earth,by Jules Verne,Rs. 147.00,https://atlanticbooks.com/products/journey-to-the-centre-of-the-earth,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,25-05-2021,194,INR 195.00,English,N/A,300 grams
Jude The Obscure,by Thomas Hardy,Rs. 263.00,https://atlanticbooks.com/products/jude-the-obscure,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,28-07-2022,416,INR 375.00,English,N/A,370 grams
Little Women,by Louisa May Alcott,Rs. 263.00,https://atlanticbooks.com/products/little-women,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,N/A,470,INR 350.00,English,N/A,450 grams
Lord Jim,by Joseph Conrad,Rs. 193.00,https://atlanticbooks.com/products/lord-jim,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,09-12-2023,336,INR 275.00,English,N/A,310 grams
Man And Superman,by George Bernard Shaw,Rs. 263.00,https://atlanticbooks.com/products/man-and-superman,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,29-05-2023,252,INR 375.00,English,N/A,100 grams
Mansfield Park,by Jane Austen,Rs. 207.00,https://atlanticbooks.com/products/mansfield-park,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,22-07-2018,422,INR 295.00,English,N/A,401 grams
Metamorphosis,by Franz Kafka,Rs. 94.00,https://atlanticbooks.com/products/metamorphosis,Fiction,9.79E+12,Paperback,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,01-10-2024,78,INR 125.00,English,N/A,70 grams
Moll Flanders,by Daniel Defoe,Rs. 175.00,https://atlanticbooks.com/products/moll-flanders,Fiction,9.79E+12,Hardcover,English Literature,Atlantic Publishers & Distributors (P) Ltd,Peacock Books,27-06-2023,322,INR 250.00,English,N/A,300 grams
